season,team,sp_overall,sp_off,sp_def
2018,Texas A&M,21.6,40.3,19.8
2018,Missouri,20.8,41.3,21.0
2018,Notre Dame,20.7,34.6,14.5
2018,Washington,19.9,34.5,12.7
2018,Penn State,19.0,33.9,14.6
2018,Fresno State,17.4,33.5,15.5
2018,Utah,16.8,31.9,18.1
2018,UCF,16.5,39.9,25.2
2018,Wisconsin,15.5,39.3,21.6
2018,South Carolina,14.9,36.4,23.6
2018,Utah State,14.2,36.3,22.5
2018,Oklahoma State,13.8,42.0,28.9
2018,Iowa,13.3,30.3,17.7
2018,West Virginia,13.2,41.1,29.2
2018,Kentucky,13.1,29.5,16.3
2018,Stanford,13.0,35.4,24.3
2018,Miami,12.7,29.3,15.8
2018,Boise State,12.2,37.1,22.8
2018,App State,11.9,30.0,19.0
2018,Michigan State,11.5,22.0,10.8
2018,Washington State,11.3,38.8,27.3
2018,Texas,11.3,35.3,24.4
2018,Ole Miss,9.8,42.1,31.2
2018,USC,9.7,31.7,22.5
2018,NC State,9.4,35.1,26.7
2018,Memphis,9.2,38.8,30.5
2018,Texas Tech,8.7,36.2,29.8
2018,Iowa State,7.9,29.9,21.5
2018,Vanderbilt,7.6,35.6,27.1
2018,Syracuse,7.5,32.1,27.4
2018,Oregon,7.3,34.7,25.8
2018,Virginia,7.1,29.7,22.0
2018,TCU,6.9,25.7,16.9
2018,Purdue,6.5,37.2,30.8
2018,Minnesota,6.3,28.2,22.8
2018,BYU,6.2,28.9,22.3
2018,San Diego State,6.0,25.6,21.0
2018,Tennessee,5.5,33.4,28.9
2018,Cincinnati,5.4,28.3,22.6
2018,Nebraska,5.4,32.7,26.9
2018,Duke,5.0,30.5,25.0
2018,Arizona State,5.0,33.9,30.4
2018,Arkansas,4.5,29.7,25.7
2018,Ohio,4.0,38.2,35.0
2018,Virginia Tech,3.9,32.8,29.4
2018,California,3.9,18.3,15.6
2018,Arizona,3.6,32.3,29.0
2018,Wake Forest,3.6,31.2,28.1
2018,Maryland,3.0,27.6,25.9
2018,Temple,2.9,28.1,23.9
2018,Pittsburgh,2.7,29.0,26.6
2018,Troy,2.6,26.4,25.6
2018,Boston College,2.4,26.5,22.1
2018,Houston,2.3,36.7,34.9
2018,North Texas,2.1,29.2,29.5
2018,Baylor,2.0,33.1,30.3
2018,Toledo,2.0,35.2,34.4
2018,Wyoming,1.9,25.1,23.7
2018,Northwestern,1.9,25.5,21.6
2018,Indiana,1.6,30.2,29.1
2018,Florida State,1.4,25.0,22.8
2018,Arkansas State,1.2,29.9,27.9
2018,Marshall,1.0,22.0,20.5
2018,Georgia Tech,0.3,33.0,33.9
2018,UAB,-0.3,24.1,24.4
2018,UCLA,-0.4,30.7,32.4
2018,Kansas State,-0.5,27.2,27.5
2018,Nevada,-0.5,27.5,28.0
2018,Colorado,-0.7,27.0,27.2
2018,Miami (OH),-0.7,26.2,28.4
2018,Florida Atlantic,-0.8,30.8,29.9
2018,Buffalo,-1.1,31.3,29.9
2018,South Florida,-1.2,29.1,29.8
2018,Army,-1.5,29.4,28.7
2018,Air Force,-1.8,29.2,31.2
2018,Eastern Michigan,-2.0,25.5,26.1
2018,Georgia Southern,-2.4,27.9,31.6
2018,North Carolina,-2.5,29.9,31.9
2018,Northern Illinois,-2.7,19.1,20.8
2018,Tulane,-3.5,23.8,28.3
2018,Middle Tennessee,-3.8,24.4,28.7
2018,Southern Miss,-5.0,16.6,21.4
2018,SMU,-5.4,24.0,29.7
2018,Louisiana,-6.9,30.5,38.9
2018,Louisiana Tech,-6.9,22.0,27.0
2018,Florida International,-7.4,26.7,34.7
2018,Illinois,-7.9,29.1,38.6
2018,Louisville,-9.1,24.5,33.6
2018,New Mexico,-9.5,23.8,35.7
2018,Kansas,-10.0,21.9,31.9
2018,Navy,-10.2,27.5,38.3
2018,Colorado State,-10.3,27.6,36.7
2018,Hawai'i,-10.4,29.5,39.5
2018,Western Michigan,-10.7,29.8,37.4
2018,UL Monroe,-10.9,26.5,35.4
2018,UNLV,-11.1,30.7,38.9
2018,Tulsa,-11.2,22.9,32.3
2018,Rutgers,-12.3,15.0,28.5
2018,Old Dominion,-14.1,24.9,39.7
2018,East Carolina,-14.9,18.3,34.2
2018,Oregon State,-16.0,28.8,43.4
2018,Massachusetts,-16.1,27.8,42.2
2018,Western Kentucky,-16.1,17.9,31.8
2018,Texas State,-16.4,14.9,29.0
2018,San José State,-17.1,17.3,34.7
2018,Coastal Carolina,-17.2,28.1,45.7
2018,South Alabama,-17.7,24.5,42.0
2018,Charlotte,-18.5,15.0,33.5
2018,Ball State,-18.9,22.5,40.2
2018,Akron,-19.3,11.9,31.0
2018,Liberty,-19.7,25.1,41.7
2018,Central Michigan,-20.0,9.0,28.7
2018,New Mexico State,-20.2,19.2,38.0
2018,Kent State,-20.4,20.5,40.3
2018,Georgia State,-20.4,23.6,43.6
2018,Bowling Green,-22.0,24.7,43.9
2018,UTSA,-22.1,11.1,34.4
2018,Rice,-26.4,15.0,42.5
2018,UConn,-26.4,24.7,51.9
2018,UTEP,-26.6,12.1,37.1
2018,nationalAverages,1.4430769230769231,29.34769230769231,27.90692307692308
2019,Ohio State,35.4,44.4,10.6
2019,LSU,33.1,48.9,17.7
2019,Alabama,32.4,47.7,14.6
2019,Clemson,28.1,43.5,14.6
2019,Georgia,26.8,34.2,10.0
2019,Penn State,24.3,37.5,15.7
2019,Florida,24.0,37.8,15.5
2019,Oklahoma,22.9,46.1,24.9
